(We Are) New Brown America | Goldwin Smith Hall 142 |Shivani Parikh|5|"In Hasan Minhaj's ""Homecoming King"" Netflix special, he coined the phrase ""New Brown America” to name this American-Born (somewhat Confused) Desi generation. What is the South Asian American identity, where do we fit in the broader term of ""Asian,"" and what does it mean to have the ""audacity of equality""? This workshop will open conversation about the post-9/11 criminalization of Desis and explore the movements and coalitions created and fostered by South Asian civil rights organizations, nonprofits, and social justice platforms. We will start and end in a group discussion and identify our hopes and dreams for Desi-Americans' political participation, where the gaps are, and how we as the New Brown America can shape this movement towards collective liberation."||
Pitfalls of Positivity: Using Media Literacy to Think Critically | Goldwin Smith Hall 144 |Marcus Tran Degnan|5|This workshop will offer students a space to think more critically about their creative content. It will challenge students by first providing a walkthrough on how to think more in-depth with media analysis of current popular news sources that highlight normative representations of Asian Americans. It will then be followed by a group writing exercise/assignment to emphasize the collaborative nature of the writing process. Students will walk away from this session with an informed discussion on how to develop creativity while being conscious of social justice themes and how they pertain to marginalized people. ||
Building Power to Fight for Positive Change | Goldwin Smith Hall 181 | Kathryn Quintin, APIAVote|5|Are you frustrated at the policies enacted by the recent executive orders? Are you at a loss about what you can do as one person and also as a community? How can one person or a small group make a difference? Learn how to incite the passion in a community to get onboard, get active and do something. This workshop is designed to teach you to be the spark and the fuel to get your campus and community organized and active toward building your collective power. Whether it’s to host a rally, organize a day of action, or push for change in the community let’s talk about how we can activate work together to create a better AAPI community. Let's collectively answer the question of what can we do to create the change we want to see. ||
Homeland: Finding Place Between Asia and America | Morrill Hall 106 |Ada Zhang, Sabrina Cheung, & Helen Yang|5|"What is home? Constructing an identity around place as an Asian American varies widely from person to person, whether that means choosing ""between"" Asia and America or shaping an identity that lies somewhere ""between"" Asia and America. This workshop first delves into the basics of how AAPIs are categorized, touching on the racial binaries of Asia versus America, the perpetual foreigner myth, and AAPI communities' place in America. Then, we will explore and discuss issues pertaining to the idea of ""home"" for Asian Americans; the search for belonging in Asia or America or both; the relationship with language, culture, and heritage; and the role of place and home in different regions of America."||
Mental Health and Self-Identity | Morrill Hall 107 |JR Kuo, NAAPIMHA|5|We will explore their internal and external identities and how that may impact their own health and wellness. We will also focus on empowering ourselves through appreciation of our heritage and strengths. After being able to identify who we are, we will learn how mental health is an essential component of their personal development. Lastly, we will learn from fellow Asian American perspectives and how this can increase their capacities to talk about their identities, mental health, and Asian American issues.||
Grace Lee Boggs and the Black Radical Tradition | Morrill Hall 110 |Emily Dong & Archishman Raju|5|Grace Lee Boggs was a long-time activist, thinker, and revolutionary. She made an essential contribution to a history that defines our time today: from the first March on Washington to the Black Power and revolutionary union movements. With her husband and comrade Jimmy Boggs, she would spend most of her life in Detroit, supporting and leading the struggles throughout the city’s industrial boom and post-industrial devastation. We'll talk about Grace's roots in the Black Radical Tradition, challenge the way current Asian American activist communities frame her, and draw lessons from her ideas and life to inform our own pursuit for transformative justice.  ||
Diversity at The Department of State - Career and Student Opportunities | Morrill Hall 111 |Sarah Cline|5|Recruiter Sarah Cline from the U.S. Department of State will discuss diversity initiatives at the State Department as well as career and student opportunities.||
Reproductive Rights and Organizing: Our Bodies! Our Freedom! | Rockefeller Hall 102 |Kenneth Gonzales, Planned Parenthood Action Fund & Alanna Salwen, Planned Parenthood Generation Action|5|In the last year, we have seen the constant attacks on reproductive healthcare and access globally, nationally, statewide and locally in campuses/universities. However, we have also witnessed the numerous ways communities have defended the attacks on our health, our safety, and our general well-being. Through this workshop, ECAASU participants can expect to engage in conversations around the current fight for reproductive rights and how to take action as young people!||
Anti-Blackness in the Blasian Context | Rockefeller Hall 103 |Savannah Lagmay & Chelsey Gao|5|When discussing AAPI identity, Blasian-- individuals of mixed African and Asian descent--narratives are often excluded in mainstream conversations. How do we tackle this anti blackness within our own communities? Many factors affect Blasian identity and portrayal in the AAPI community, from history within the US to transnationally in modern media representations. “Anti Blackness in the Blasian Context” aims to discuss experiences being and growing up Blasian, how to prioritize Blasian narratives in the community, and how to navigate conversations of anti blackness from and regarding Blasian perspectives.||
Race, Gender, and the Construction of Asian American Masculinity | Rockefeller Hall 104  |Nicholas Hatcher|5|For people of color, gender is often deviant by default. Black and Latinx men are seen as hyper masculine and women as aggressive or overtly sexual. Asian men are emasculated and Asian women are considered submissive. In this workshop, we explore the history and construction of Asian American masculinity and explore what that means in terms of toxic masculinity, mental health, and queer identity.||
Breaking the GenerAsianal Boundaries | Rockefeller Hall 105 |Timothy Chow & Shawn Chen|5|A discussion about the relationship between Asian-Americans and their parents. In particular, how the contrasting backgrounds and cultures between generations express emotions and how that has affected Asian-Americans growing up. Also, how mainstream media in America has set expectations for family relations. We hope this workshop will encourage Asian-Americans to have an open discussion with their parents.||
